Name,Price,Brand,Color,Primary_material,Primary_Category,Category,Subcategory,Subsubcategory
Redmond Three Seater Sofa in Blue Colour by Muebles Casa,17999,Muebles Casa,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Ithaca Impulse Three Seater Sofa with Throw Cushions in Jade Colour by Urban Living,28999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Dijon Three Seater Sofa in Navy Blue Colour by Auspicious Home,23499,Auspicious Home,,Acacia Wood,Home, Furniture, Sofas & Loungers, Sofas
Dijon Three Seater Sofa in Red Colour by Auspicious Home,23499,Auspicious Home,,Acacia Wood,Home, Furniture, Sofas & Loungers, Sofas
Memphis Monarch Three Seater Sofa in Dark Brown Colour by Urban Living,26999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Ithaca Impulse Three Seater Sofa with Throw Cushions in Charcoal Grey Colour by Urban Living,28999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Ithaca Impulse Three Seater Sofa with Throw Cushions in Teal Blue Colour by Urban Living,28999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Ithaca Impulse Three Seater Sofa with Throw Cushions in Chestnut Brown Colour by Urban Living,20999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Glassgow Heaven Three Seater Sofa with Throw Cushions in Blue Colour by Urban Living,21999,Urban Living,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Washington Three Seater Sofa with Throw Cushions in Grape Wine Colour by Urban Living,18999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
New York Chic Three Seater Sofa in Wine Colour by Urban Living,20999,Urban Living,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Arms Three Seater Sofa in Black Colour Leatherette  by Parin,26499,Parin,Black,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Harleston Three Seater Sofa in Honey Oak Finish by Amberville,25499,Amberville,Honey Oak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Barnes Solid Wood Three Seater Sofa with Cushions in Passion Mahogany Finish by Woodsworth,29499,Woodsworth,Passion Mahogany,Acacia Wood,Home, Furniture, Sofas & Loungers, Sofas
Monet Three Seater Sofa in Ivory Colour by Evok,27990,Evok,,Leatherette,Home, Furniture, Sofas & Loungers, Sofas
Harleston Three Seater Sofa in Provincial Teak Finish by Amberville,27999,Amberville,Provincial Teak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Perfect Appeal Three Seater Upholstered Sofa in Beige Colour by Dreamzz Furniture,41000,Dreamzz Furniture,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Taksh Handcrafted Solid Wood Three Seater Sofa in Provincial Teak Finish by Mudramark,24499,Mudramark,Provincial Teak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Sanford Three Seater Sofa in Grey Colour by Amberville,25499,Amberville,Grey,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Maurya Handcrafted Solid Wood Three Seater Sofa in Honey Oak Finish by Mudramark,22999,Mudramark,Honey Oak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Anne Three Seater Sofa in Provincial Teak Finish by Amberville,33999,Amberville,Provincial Teak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Anne Three Seater Sofa in Warm Chestnut Finish by Amberville,30499,Amberville,Warm Chestnut,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Maurya Handcrafted Solid Wood Three Seater Sofa in Provincial Teak Finish by Mudramark,25499,Mudramark,Provincial Teak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofas
Willingdon Three Seater Sofa in Provincial Teak Finish by Amberville,36132,Amberville,Provincial Teak,Sheesham Wood,Home, Furniture, Sofas & Loungers, Sofa Sets
Bayley Three Seater Sofa in Blue Color by Amberville,41732,Amberville,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Bayley Three Seater Sofa in Brown Colour  by Amberville,21999,Amberville,Brown,Fabric,Home, Furniture, Sofas & Loungers, Sofas
